cep,erro
02814006,CEP inv?lido ou n?o encontrado
12226240,CEP inv?lido ou n?o encontrado
12228451,CEP inv?lido ou n?o encontrado
12940916,CEP inv?lido ou n?o encontrado
12942971,CEP inv?lido ou n?o encontrado
12946858,CEP inv?lido ou n?o encontrado
13043970,CEP inv?lido ou n?o encontrado
13145882,CEP inv?lido ou n?o encontrado
13178401,CEP inv?lido ou n?o encontrado
13180420,CEP inv?lido ou n?o encontrado
13181126,CEP inv?lido ou n?o encontrado
13184038,CEP inv?lido ou n?o encontrado
13212854,CEP inv?lido ou n?o encontrado
13215767,CEP inv?lido ou n?o encontrado
13412137,CEP inv?lido ou n?o encontrado
14090698,CEP inv?lido ou n?o encontrado
14185000,CEP inv?lido ou n?o encontrado
14406200,CEP inv?lido ou n?o encontrado
14781190,CEP inv?lido ou n?o encontrado
14781277,CEP inv?lido ou n?o encontrado
15134198,CEP inv?lido ou n?o encontrado
18072059,CEP inv?lido ou n?o encontrado
29043470,CEP inv?lido ou n?o encontrado
29043545,CEP inv?lido ou n?o encontrado
29113017,CEP inv?lido ou n?o encontrado
29113027,CEP inv?lido ou n?o encontrado
29115621,CEP inv?lido ou n?o encontrado
29178763,CEP inv?lido ou n?o encontrado
29178767,CEP inv?lido ou n?o encontrado
33840472,CEP inv?lido ou n?o encontrado
35645970,CEP inv?lido ou n?o encontrado
35681561,CEP inv?lido ou n?o encontrado
35703248,CEP inv?lido ou n?o encontrado
35932089,CEP inv?lido ou n?o encontrado
36883279,CEP inv?lido ou n?o encontrado
36900398,CEP inv?lido ou n?o encontrado
40710780,CEP inv?lido ou n?o encontrado
40711068,CEP inv?lido ou n?o encontrado
40713032,CEP inv?lido ou n?o encontrado
40713070,CEP inv?lido ou n?o encontrado
40713270,CEP inv?lido ou n?o encontrado
40713320,CEP inv?lido ou n?o encontrado
40715138,CEP inv?lido ou n?o encontrado
40715192,CEP inv?lido ou n?o encontrado
40715210,CEP inv?lido ou n?o encontrado
40715434,CEP inv?lido ou n?o encontrado
40715487,CEP inv?lido ou n?o encontrado
40715790,CEP inv?lido ou n?o encontrado
40717150,CEP inv?lido ou n?o encontrado
40717286,CEP inv?lido ou n?o encontrado
40717291,CEP inv?lido ou n?o encontrado
40717338,CEP inv?lido ou n?o encontrado
40717562,CEP inv?lido ou n?o encontrado
40718390,CEP inv?lido ou n?o encontrado
40720046,CEP inv?lido ou n?o encontrado
40720048,CEP inv?lido ou n?o encontrado
40720060,CEP inv?lido ou n?o encontrado
40720072,CEP inv?lido ou n?o encontrado
40720162,CEP inv?lido ou n?o encontrado
40720164,CEP inv?lido ou n?o encontrado
40720186,CEP inv?lido ou n?o encontrado
40720258,CEP inv?lido ou n?o encontrado
40720284,CEP inv?lido ou n?o encontrado
40720300,CEP inv?lido ou n?o encontrado
40720308,CEP inv?lido ou n?o encontrado
40720323,CEP inv?lido ou n?o encontrado
40720364,CEP inv?lido ou n?o encontrado
40720483,CEP inv?lido ou n?o encontrado
40720560,CEP inv?lido ou n?o encontrado
40720715,CEP inv?lido ou n?o encontrado
40725042,CEP inv?lido ou n?o encontrado
40725110,CEP inv?lido ou n?o encontrado
40725122,CEP inv?lido ou n?o encontrado
40725270,CEP inv?lido ou n?o encontrado
40725320,CEP inv?lido ou n?o encontrado
40725580,CEP inv?lido ou n?o encontrado
40725788,CEP inv?lido ou n?o encontrado
40726105,CEP inv?lido ou n?o encontrado
40726210,CEP inv?lido ou n?o encontrado
40730080,CEP inv?lido ou n?o encontrado
40730170,CEP inv?lido ou n?o encontrado
40730275,CEP inv?lido ou n?o encontrado
40730570,CEP inv?lido ou n?o encontrado
40730660,CEP inv?lido ou n?o encontrado
40731030,CEP inv?lido ou n?o encontrado
40731170,CEP inv?lido ou n?o encontrado
40731242,CEP inv?lido ou n?o encontrado
40731280,CEP inv?lido ou n?o encontrado
40731335,CEP inv?lido ou n?o encontrado
40740350,CEP inv?lido ou n?o encontrado
40760260,CEP inv?lido ou n?o encontrado
40760400,CEP inv?lido ou n?o encontrado
40760424,CEP inv?lido ou n?o encontrado
40800042,CEP inv?lido ou n?o encontrado
40800202,CEP inv?lido ou n?o encontrado
40800206,CEP inv?lido ou n?o encontrado
40800252,CEP inv?lido ou n?o encontrado
40800338,CEP inv?lido ou n?o encontrado
40800363,CEP inv?lido ou n?o encontrado
40800848,CEP inv?lido ou n?o encontrado
40810090,CEP inv?lido ou n?o encontrado
40810208,CEP inv?lido ou n?o encontrado
40810420,CEP inv?lido ou n?o encontrado
40810505,CEP inv?lido ou n?o encontrado
40810630,CEP inv?lido ou n?o encontrado
40810670,CEP inv?lido ou n?o encontrado
40810720,CEP inv?lido ou n?o encontrado
